Date,Open,High,Low,Close,Adj Close,Volume,AD Net,ReportsCount,Ret(5d),Ret(10d),Ret(15d),Ret(20d),Ret(25d),Ret(30d)
4/16/2018,43.7575,44.047501,43.7075,43.955002,41.903229,86313600,,,,,,,,
4/17/2018,44.122501,44.735001,44.102501,44.560001,42.479984,106421600,,,,,,,,
4/18/2018,44.452499,44.705002,44.220001,44.459999,42.384651,83018000,,,,,,,,
4/19/2018,43.439999,43.8475,43.165001,43.200001,41.183456,139235200,,,,,,,,
4/20/2018,42.650002,42.805,41.357498,41.43,39.496101,261964400,,,,,,,,
4/23/2018,41.7075,41.73,41.022499,41.310001,39.381699,146062000,,,,,,,,
4/24/2018,41.4175,41.5825,40.305,40.735001,38.833534,134768000,,,,,,,,
4/25/2018,40.654999,41.355,40.602501,40.912498,39.00275,113528400,,,,,,,,
4/26/2018,41.029999,41.432499,40.842499,41.055,39.138596,111852000,,,,,,,,
4/27/2018,41,41.0825,40.157501,40.580002,38.685768,142623200,,,,,,,,
4/30/2018,40.532501,41.814999,40.459999,41.314999,39.386459,169709600,,,,,,,,
5/1/2018,41.602501,42.299999,41.317501,42.275002,40.301655,214277600,,,,,,,,
5/2/2018,43.807499,44.4375,43.450001,44.142502,42.081982,266157600,,,,,,,,
5/3/2018,43.970001,44.375,43.610001,44.2225,42.158245,136272800,,,,,,,,
5/4/2018,44.5625,46.0625,44.5425,45.9575,43.812256,224805200,,,,,,,,
5/7/2018,46.294998,46.9175,46.1875,46.290001,44.129223,169805600,,,,,,,,
5/8/2018,46.247501,46.555,45.9175,46.512501,44.341339,113611200,,,,,,,,
5/9/2018,46.637501,46.849998,46.305,46.84,44.653564,92844800,,,,,,,,
5/10/2018,46.935001,47.592499,46.912498,47.509998,45.292278,111957200,,,,,,,,
5/11/2018,47.372501,47.514999,46.862499,47.147499,45.120022,104848800,,,,,,,,
5/14/2018,47.252499,47.3825,46.965,47.037498,45.014751,83115200,,,,,,,,
5/15/2018,46.695,46.767502,46.275002,46.610001,44.60564,94780800,,,,,,,,
5/16/2018,46.517502,47.115002,46.5,47.044998,45.021923,76732400,,,,,,,,
5/17/2018,47,47.227501,46.59,46.747501,44.737225,69176000,,,,,,,,
5/18/2018,46.797501,46.952499,46.532501,46.577499,44.574528,73190800,,,,,,,,
5/21/2018,47,47.317501,46.727501,46.907501,44.89035,73603200,,,,,,,,
5/22/2018,47.095001,47.220001,46.695,46.790001,44.777908,60962800,,,,,,,,
5/23/2018,46.587502,47.125,46.439999,47.09,45.064987,80233600,,,,,,,,
5/24/2018,47.192501,47.209999,46.552502,47.037498,45.014751,92936000,,,,,,,,
5/25/2018,47.057499,47.412498,46.912498,47.145,45.117634,69844000,,,,,,,,
5/29/2018,46.900002,47.1875,46.717499,46.974998,44.954945,90056400,,,,,,,,
5/30/2018,46.93,47,46.695,46.875,44.859241,74762000,,,,,,,,
5/31/2018,46.805,47.057499,46.535,46.717499,44.708519,109931200,,,,,,,,
6/1/2018,46.997501,47.564999,46.9375,47.560001,45.514786,93770000,,,,,,,,
6/4/2018,47.91,48.355,47.837502,47.9575,45.895195,105064800,,,,,,,,
6/5/2018,48.267502,48.485001,48.09,48.327499,46.249283,86264000,,,,,,,,
6/6/2018,48.407501,48.52,47.98,48.494999,46.409592,83734400,,,,,,,,
6/7/2018,48.535,48.549999,48.084999,48.365002,46.285172,85388800,,,,,,,,
6/8/2018,47.7925,48,47.442501,47.924999,45.86409,106627200,,,,,,,,
6/11/2018,47.837502,47.9925,47.552502,47.807499,45.75164,73234000,,,,,,,,
6/12/2018,47.8475,48.1525,47.787498,48.07,46.002846,67644400,,,,,,,,
6/13/2018,48.105,48.220001,47.610001,47.674999,45.62484,86553600,,,,,,,,
6/14/2018,47.887501,47.892502,47.555,47.700001,45.648769,86440400,,,,,,,,
6/15/2018,47.5075,47.540001,47.064999,47.209999,45.179832,246876800,,,,,,,,
6/18/2018,46.970001,47.305,46.799999,47.185001,45.15591,73939600,,,,,,,,
6/19/2018,46.285,46.5825,45.862499,46.422501,44.426201,134314000,,,,,,,,
6/20/2018,46.587502,46.799999,46.432499,46.625,44.619995,82514800,,,,,,,,
6/21/2018,46.8125,47.087502,46.235001,46.365002,44.371178,102847600,,,,,,,,
6/22/2018,46.529999,46.537498,46.174999,46.23,44.241978,108801600,,,,,,,,
6/25/2018,45.849998,46.23,45.182499,45.5425,43.584042,126652400,,,,,,,,
6/26/2018,45.747501,46.6325,45.634998,46.107498,44.124752,98276800,,,,,,,,
6/27/2018,46.307499,46.82,46.0075,46.040001,44.060146,101141200,,,,,,,,
6/28/2018,46.025002,46.552502,45.950001,46.375,44.380753,69460800,,,,,,,,
6/29/2018,46.572498,46.797501,45.727501,46.2775,44.287441,90950800,,,,,,,,
7/2/2018,45.955002,46.825001,45.855,46.794998,44.782681,70925200,,,,,,,,
7/3/2018,46.947498,46.987499,45.884998,45.98,44.002739,55819200,,,,,,,,
7/5/2018,46.314999,46.602501,46.07,46.349998,44.356823,66416800,,,,,,,,
7/6/2018,46.355,47.107498,46.299999,46.9925,44.971691,69940800,,,,,,,,
7/9/2018,47.375,47.669998,47.325001,47.645,45.596134,79026400,,,,,,,,
7/10/2018,47.677502,47.82,47.544998,47.587502,45.541107,63756400,,,,,,,,
7/11/2018,47.125,47.445,46.9025,46.970001,44.950153,75326000,,,,,,,,
7/12/2018,47.3825,47.852501,47.327499,47.7575,45.7038,72164400,,,,,,,,
7/13/2018,47.77,47.959999,47.724998,47.8325,45.775566,50055600,,,,,,,,
7/16/2018,47.880001,48.162498,47.605,47.727501,45.675072,60172400,,,,,,,,
7/17/2018,47.4375,47.967499,47.299999,47.862499,45.804287,62138000,,,,,,,,
7/18/2018,47.945,47.950001,47.482498,47.599998,45.553062,65573600,,,,,,,,
7/19/2018,47.422501,48.137501,47.422501,47.970001,45.907162,81147200,,,,,,,,
7/20/2018,47.945,48.107498,47.5425,47.860001,45.801884,82704800,,,,,,,,
7/23/2018,47.669998,47.990002,47.389999,47.9025,45.842556,63957600,,,,,,,,
7/24/2018,48.112499,48.415001,48.012501,48.25,46.175114,74791600,,,,,,,,
7/25/2018,48.264999,48.712502,48.107498,48.705002,46.610554,66839600,,,,,,,,
7/26/2018,48.6525,48.990002,48.4025,48.552502,46.464607,76304000,,,,,,,,
7/27/2018,48.747501,48.797501,47.525002,47.744999,45.69183,96096000,,,,,,,,
7/30/2018,47.974998,48.049999,47.267502,47.477501,45.435841,84118000,,,,,,,,
7/31/2018,47.575001,48.035,47.334999,47.572498,45.526745,157492000,,,,,,,,
8/1/2018,49.782501,50.439999,49.327499,50.375,48.208733,271742800,,,,,,,,
8/2/2018,50.145,52.095001,50.087502,51.8475,49.617908,249616000,,,,,,,,
8/3/2018,51.7575,52.185001,51.369999,51.997501,49.761463,133789600,,,,,,,,
8/6/2018,52,52.3125,51.767502,52.267502,50.019855,101701600,,,,,,,,
8/7/2018,52.330002,52.375,51.689999,51.7775,49.550926,102349600,,,,,,,,
8/8/2018,51.512501,51.952499,51.130001,51.8125,49.584408,90102000,,,,,,,,
8/9/2018,52.3825,52.445,51.799999,52.220001,49.974392,93970400,,,,,,,,
8/10/2018,51.84,52.275002,51.6675,51.8825,49.825539,98444800,,,,,,,,
8/13/2018,52.327499,52.737499,51.924999,52.217499,50.147255,103563600,,,,,,,,
8/14/2018,52.540001,52.639999,52.064999,52.4375,50.35854,82992000,,,,,,,,
8/15/2018,52.305,52.685001,52.0825,52.560001,50.476181,115230400,,,,,,,,
8/16/2018,52.9375,53.452499,52.8675,53.330002,51.215664,114001600,,,,,,,,
8/17/2018,53.360001,54.487499,53.290001,54.395,52.238426,141708000,,,,,,,,
8/20/2018,54.525002,54.794998,53.7775,53.865002,51.729439,121150800,,,,,,,,
8/21/2018,54.200001,54.297501,53.5075,53.759998,51.628605,104639200,,,,,,,,
8/22/2018,53.525002,54.09,53.459999,53.762501,51.631012,76072400,,,,,,,,
8/23/2018,53.662498,54.262501,53.650002,53.872501,51.736645,75532800,,,,,,,,
8/24/2018,54.150002,54.224998,53.7775,54.040001,51.897507,73905600,,,,,,,,
8/27/2018,54.287498,54.685001,54.0825,54.485001,52.32486,82100400,,,,,,,,
8/28/2018,54.752499,55.134998,54.73,54.924999,52.747417,91107200,,,,,,,,
8/29/2018,55.037498,55.872501,54.852501,55.744999,53.534908,109019200,,,,,,,,
8/30/2018,55.8125,57.064999,55.599998,56.2575,54.027088,195175200,,,,,,,,
8/31/2018,56.627499,57.217499,56.5,56.907501,54.651314,173360400,,,,,,,,
9/4/2018,57.102501,57.294998,56.657501,57.09,54.82658,109560400,,,,,,,,
9/5/2018,57.247501,57.4175,56.275002,56.717499,54.468845,133332000,,,,,,,,
9/6/2018,56.557499,56.837502,55.325001,55.775002,53.563721,137160000,,,,,,,,
9/7/2018,55.462502,56.342499,55.177502,55.325001,53.131561,150479200,,,,,,,,
9/10/2018,55.237499,55.462502,54.1175,54.5825,52.418503,158066000,,,,,,,,
9/11/2018,54.502499,56.075001,54.139999,55.962502,53.743786,142996000,,,,,,,,
9/12/2018,56.235001,56.25,54.959999,55.267502,53.07634,197114800,,,,,,,,
9/13/2018,55.880001,57.087502,55.642502,56.602501,54.358406,166825600,,,,,,,,
9/14/2018,56.4375,56.709999,55.630001,55.959999,53.741379,127997200,,,,,,,,
9/17/2018,55.537498,55.737499,54.317501,54.470001,52.310459,148780400,,,,,,,,
9/18/2018,54.447498,55.462502,54.279999,54.560001,52.396877,126286800,,,,,,,,
9/19/2018,54.625,54.904999,53.825001,54.592499,52.428097,108495200,,,,,,,,
9/20/2018,55.060001,55.57,54.787498,55.0075,52.826641,106435200,,,,,,,,
9/21/2018,55.195,55.34,54.322498,54.415001,52.257641,384986800,,,,,,,,
9/24/2018,54.205002,55.314999,54.157501,55.197498,53.009106,110773600,,,,,,,,
9/25/2018,54.9375,55.705002,54.924999,55.547501,53.345226,98217600,,,,,,,,
9/26/2018,55.25,55.9375,54.939999,55.105,52.920277,95938800,,,,,,,,
9/27/2018,55.955002,56.610001,55.884998,56.237499,54.007877,120724800,,,,,,,,
9/28/2018,56.197498,56.459999,56.005001,56.435001,54.197552,91717600,,,,,,,,
10/1/2018,56.987499,57.355,56.587502,56.814999,54.562481,94403200,,,,,,,,
10/2/2018,56.8125,57.5,56.657501,57.32,55.047466,99152800,,,,,,,,
10/3/2018,57.512501,58.3675,57.445,58.017502,55.717308,114619200,,,,,,,,
10/4/2018,57.695,58.087502,56.682499,56.997501,54.737751,128168000,,,,,,,,
